Histo2d 
sCurve-0
Vcal
Occupancy
Number of pixels
61 -2.5 302.5
49 0.5 49.5
0 161939
240 214 223 223 260 240 229 217 242 250 262 217 237 257 253 253 271 274 275 280 297 282 355 353 360 405 396 460 507 537 604 706 769 927 984 1336 1764 2333 2892 3171 2982 2271 1393 958 979 1814 2851 1131 367 290 289 228 268 239 247 226 225 247 248 238 268 
53 55 54 54 52 55 56 51 49 48 53 44 59 63 63 48 52 46 62 74 79 105 84 66 94 105 102 113 153 148 198 239 286 334 385 451 555 755 1154 1584 2006 1936 1537 862 522 669 1689 1016 180 88 86 98 82 75 62 62 58 86 64 65 67 
9 13 19 27 21 14 18 21 26 21 16 16 14 16 20 20 20 16 26 26 32 33 30 41 46 45 53 51 67 81 85 137 142 163 211 272 309 381 494 804 1230 1579 1516 1076 601 460 1058 958 175 70 51 56 59 45 40 28 25 30 24 30 23 
15 6 10 11 9 8 8 8 10 14 12 8 12 11 12 9 15 8 13 20 18 21 18 18 19 20 26 28 35 45 58 59 75 98 110 169 186 218 313 463 798 1141 1386 1184 711 459 763 990 201 48 18 36 37 23 23 31 26 20 30 16 19 
7 5 3 3 5 3 9 4 9 6 2 7 9 5 8 5 10 10 7 16 9 18 8 16 12 16 13 21 24 32 29 36 43 59 90 98 147 174 215 315 512 865 1113 1129 924 506 552 908 196 50 32 25 22 29 19 16 15 15 21 10 13 
3 1 4 6 5 1 12 2 7 0 4 4 2 4 9 5 5 5 5 4 12 11 10 12 6 4 10 13 15 23 34 33 40 47 68 74 105 130 167 215 346 587 891 1098 879 594 499 862 232 59 19 20 25 25 25 14 19 9 17 13 17 
2 7 1 3 2 4 3 3 0 4 1 0 1 5 6 13 6 4 3 2 7 5 12 10 7 7 7 8 11 9 17 20 22 30 36 50 72 98 140 175 242 419 737 999 981 693 477 799 264 57 27 14 21 20 25 19 26 9 18 11 10 
3 3 2 4 1 0 2 0 1 2 2 1 2 1 3 2 4 3 3 6 2 7 9 10 11 7 6 10 5 11 9 16 20 20 34 44 58 73 85 140 187 323 571 839 914 759 548 774 298 60 22 24 15 17 16 17 12 16 16 9 9 
1 0 0 3 1 3 0 0 0 1 2 4 2 1 3 2 4 2 4 3 4 4 4 8 8 2 6 6 6 6 8 13 13 20 27 28 40 57 69 121 153 206 408 716 852 819 608 735 310 57 18 20 14 15 16 19 14 8 11 7 8 
1 1 2 2 1 2 2 0 2 3 3 0 4 0 1 2 1 4 1 4 5 6 4 4 7 10 3 4 2 8 10 6 9 11 16 23 28 41 44 74 124 172 293 610 863 823 666 772 358 62 15 17 13 12 18 19 16 9 8 5 7 
0 2 3 2 0 1 4 0 0 1 0 0 0 1 1 0 1 3 1 3 1 0 4 6 6 6 1 4 6 7 3 9 8 14 10 28 26 29 54 75 93 148 232 468 723 823 742 736 440 65 27 16 16 9 21 15 13 12 8 8 4 
1 0 2 0 1 2 2 0 0 1 1 0 1 1 0 3 5 3 1 1 2 1 2 5 3 2 5 3 5 3 7 3 6 8 8 12 13 25 38 43 79 123 201 348 640 829 769 770 452 79 27 22 16 21 20 16 9 9 7 3 4 
1 1 1 0 0 3 2 1 0 1 0 2 0 1 0 1 2 2 3 3 4 1 1 3 7 3 1 3 1 6 4 4 3 7 11 13 18 19 32 42 70 111 162 297 578 762 754 826 535 96 22 19 20 16 10 18 13 13 6 11 7 
0 0 1 2 0 3 2 0 3 0 0 1 2 1 0 1 1 3 4 1 1 2 0 3 4 7 4 2 3 2 2 2 11 4 7 7 12 17 27 21 47 84 128 244 443 723 765 829 612 124 34 15 17 9 10 11 19 12 7 6 6 
2 0 1 0 1 0 1 0 0 2 0 1 1 1 0 2 0 2 1 3 3 1 3 2 2 7 2 1 3 1 3 4 10 6 3 9 9 10 14 26 52 54 105 147 409 640 789 840 644 167 42 14 13 17 12 18 18 12 11 8 6 
2 2 0 0 1 1 0 0 0 0 1 0 0 0 1 3 1 1 4 0 2 0 2 2 3 3 6 4 5 3 6 5 6 8 5 9 15 14 14 17 27 46 80 138 311 588 753 850 735 181 41 20 20 17 12 17 9 12 14 9 6 
0 2 1 2 2 0 0 3 1 2 0 0 2 1 3 0 0 0 2 1 1 0 3 2 4 2 4 2 3 4 1 3 5 6 5 10 13 12 15 16 18 49 59 121 235 504 730 819 878 239 47 15 14 15 12 11 9 8 14 11 2 
1 0 2 0 2 0 0 2 0 0 0 1 1 1 0 1 0 1 1 2 1 0 2 1 3 7 5 4 5 1 4 5 4 3 5 9 9 8 12 22 16 32 38 102 218 410 667 908 924 307 77 16 9 18 21 15 10 14 11 11 10 
0 1 1 1 1 2 0 0 1 0 0 0 0 1 0 1 0 0 2 1 0 0 1 0 0 2 4 5 2 4 8 7 8 5 4 9 6 11 11 15 21 23 41 87 141 343 644 832 985 356 88 38 20 15 14 18 15 16 7 14 3 
1 1 0 1 0 0 1 1 0 0 0 0 0 0 3 1 2 2 3 2 1 1 0 0 1 3 8 2 1 4 1 6 5 6 4 3 4 4 9 8 16 29 35 59 118 278 586 842 999 391 134 46 32 19 9 20 17 18 12 11 9 
0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 1 2 1 0 1 1 1 4 1 2 3 6 2 3 2 1 2 4 4 7 6 11 11 9 10 20 25 46 110 229 492 749 1106 495 182 55 27 10 18 11 11 10 11 24 9 
0 0 1 0 1 2 0 2 1 1 0 0 0 2 0 0 2 1 1 0 1 2 0 0 1 3 7 5 2 1 3 1 4 2 11 4 6 6 7 11 15 14 21 39 79 165 471 703 1085 557 215 63 38 20 10 15 14 15 10 9 10 
0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 1 1 1 0 1 0 1 1 0 4 4 4 1 0 2 2 3 6 6 4 7 9 13 17 14 18 29 64 138 379 638 1061 646 266 77 41 36 9 14 14 18 15 8 13 
0 1 0 0 1 0 0 0 2 0 0 1 0 1 1 2 1 0 1 0 0 0 1 2 2 1 2 3 2 3 2 2 1 6 8 4 4 4 6 10 13 16 23 26 39 107 307 663 1103 728 298 121 57 25 16 21 10 13 12 12 11 
0 0 0 0 2 1 0 1 3 0 0 0 0 1 1 0 0 0 0 3 0 0 0 0 1 3 0 5 2 5 1 2 1 2 4 3 7 5 9 7 9 8 18 24 40 79 238 566 1051 815 394 148 73 31 29 13 12 12 17 19 5 
0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 2 0 0 1 3 0 1 0 4 4 8 3 2 1 3 5 6 0 3 5 10 3 7 11 14 19 36 84 189 497 1005 836 397 185 76 34 19 23 18 12 9 10 13 
0 0 0 0 0 1 0 0 3 0 0 0 0 0 1 1 1 0 1 0 0 0 1 1 2 2 2 3 6 1 5 1 2 4 3 7 7 8 9 13 9 10 16 15 39 47 156 429 965 900 465 222 93 38 26 26 24 12 16 12 11 
0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 2 2 1 0 1 5 4 2 6 1 9 4 7 3 7 10 8 7 15 19 15 30 57 117 343 880 937 540 272 121 39 29 14 21 14 12 12 8 
0 0 0 0 0 0 0 2 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 1 1 0 1 3 2 5 3 4 2 3 6 6 6 4 5 9 12 9 11 22 16 36 87 287 835 966 645 343 126 67 46 20 17 20 20 12 16 
0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 4 1 2 2 7 4 4 3 3 4 3 3 6 3 4 3 5 6 15 19 21 41 72 237 758 1014 638 371 181 97 41 20 22 17 23 19 10 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 1 2 1 1 7 2 3 1 4 6 2 5 2 4 8 11 6 9 14 15 17 26 69 176 693 986 741 434 214 106 54 29 21 16 14 14 13 
0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 3 2 2 2 2 3 1 4 4 2 2 6 8 12 21 12 17 31 46 160 596 1003 772 516 269 124 76 42 32 23 19 18 14 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 2 6 3 3 2 3 4 0 4 3 4 8 12 9 12 13 19 27 54 112 545 964 742 604 323 145 98 47 41 18 17 27 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 4 4 0 4 3 1 8 6 1 5 7 8 16 12 7 22 26 39 90 413 1044 773 666 392 186 110 60 33 31 16 26 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 2 1 6 8 1 1 2 5 4 5 10 7 7 8 7 14 11 18 20 28 75 399 891 830 737 442 259 105 75 44 29 20 22 22 
