Histo2d 
sCurve-0
Vcal
Occupancy
Number of pixels
31 47.5 202.5
49 0.5 49.5
0 83734
3412 3309 3423 3473 3575 3562 3671 3791 4012 4288 4651 5167 5633 5779 5462 4728 4088 3656 3773 5163 5656 3495 3162 3065 3032 3068 3156 3011 3117 3040 3099 
942 966 1012 970 940 1060 1077 1147 1207 1248 1370 1684 1954 2392 2731 2665 2121 1527 1234 1625 2797 1496 872 926 878 871 820 868 886 854 832 
381 418 408 433 421 449 475 516 562 591 697 784 944 1187 1638 1907 1712 1257 813 811 1774 1090 428 411 369 425 417 373 349 393 370 
213 204 230 216 238 245 250 281 367 367 423 454 521 765 1041 1386 1493 1228 792 579 1287 1017 272 225 208 200 207 223 236 188 231 
137 126 134 136 156 188 168 176 205 233 259 325 376 503 698 979 1256 1242 914 581 902 980 209 167 159 143 139 138 158 171 147 
110 110 102 101 107 124 126 136 145 164 188 235 275 316 490 692 1044 1122 926 593 725 1012 177 117 135 115 104 98 116 126 97 
81 100 81 78 89 111 80 88 101 104 130 177 217 254 369 568 879 1039 928 682 667 998 195 107 84 95 98 99 96 92 99 
80 73 67 80 87 78 67 89 74 92 123 125 143 207 278 435 681 979 1013 722 609 925 205 90 82 90 95 76 93 73 65 
53 56 73 68 75 51 71 74 71 63 97 111 151 164 204 287 500 824 895 729 563 908 215 105 72 69 77 66 62 67 67 
45 48 61 53 51 52 66 55 59 58 64 61 94 144 170 240 419 668 895 833 671 907 276 69 77 74 77 75 57 49 77 
47 46 46 55 46 46 57 70 44 58 71 60 85 101 132 176 305 529 763 834 720 964 316 102 63 63 62 55 52 59 50 
34 54 40 41 58 47 48 43 48 38 46 50 66 79 121 149 237 438 716 837 733 922 349 59 55 70 60 54 55 46 45 
38 35 41 35 33 34 43 54 43 45 36 49 57 55 89 114 195 333 651 825 791 941 455 95 56 57 44 45 57 46 37 
36 33 38 26 33 34 37 50 43 44 37 47 50 53 69 98 159 307 556 727 809 966 479 111 54 49 45 56 39 43 42 
28 39 23 32 30 30 30 36 36 39 36 34 39 51 71 83 111 212 427 708 782 958 587 124 74 46 42 49 43 40 54 
35 29 27 24 32 29 28 26 34 35 38 37 42 32 50 74 105 171 368 619 729 935 673 123 69 40 50 47 48 40 34 
